Id,Category
9dfe56a7-b9ad-463c-becf-9ef03a71bc87,Normal
aee8e64c-0051-40ad-9ea9-3a2258aaf125,Water
825a6699-2baa-4808-839d-d1594b1ada03,Normal
b8434598-1a72-409f-9996-a5b43900930a,Normal
beb05861-6d0d-4ba4-b6c1-9cf6a36c9a27,Grass
2ec7520e-3e8a-42d7-9cfc-485e4fb139b7,Fire
a970ccc9-2146-4299-a76f-631f83d6a73c,Bug
8ea78694-571f-4b3a-8812-718cc9c596a5,Bug
d50826e9-6dde-497f-afe1-b5b6d0f40a87,Water
fb833ea0-b95d-4430-b3ac-2e78dc8c666f,Bug
3c6fc721-377a-4b86-b5f1-bbc87db744d7,Water
e5c1b8f9-8634-46f4-be3c-9d8c9eb76939,Normal
7de87e05-46da-4d58-ae95-5cb716990d7e,Water
389d27f2-be38-4fe2-bf11-a565c70ecd18,Fire
b1bb2083-a613-46d0-bea5-82cd9c62072e,Grass
83ce877b-a43a-427d-a8a9-7ca1aa5aa616,Grass
f8228f8e-4552-4583-bd7c-aeed0d936521,Rock
046e952b-fc8a-4e25-8b2c-8359df12edbb,Normal
0e974763-2a41-406c-8f29-48676c4a27ee,Normal
aa1cd028-7627-41c0-bd6e-ffffb1520031,Normal
69bf9ee4-9e13-49e9-84a4-15adfc55a1ea,Normal
f6349685-1de5-4cbc-a1ce-701f5fb3c7ac,Normal
285753da-6274-4f28-bcc0-166a7fbbcacc,Grass
1900153b-837b-4b48-ace8-4185ed983e41,Bug
411948cb-6121-4a89-8e68-dabe3ff7a47d,Poison
345d09ba-1451-46a2-8618-67181b97d44f,Grass
9de6968d-322c-4804-9b83-1ecaeea79f3f,Normal
7dd811b0-0e77-4551-81de-d4b9273174a2,Grass
6f2c91dd-9a64-4a4c-891d-1ecfb5374f4b,Fighting
9be079d5-b17b-4652-93eb-d8ae29291e88,Normal
a62910a3-c9a4-4f61-bfa0-dc1a7fd3bd67,Normal
223cde94-70ab-40ee-a8dd-e6021d6f5565,Bug
44d148b1-7c9f-41f6-a5ea-93ceb0babd42,Normal
fbb5d656-87fe-40d3-a66d-95c4baf440c6,Normal
9d889652-72f8-48dd-8629-6f75f898140a,Water
2e111fca-b3b7-4e0c-89a4-363ce7876737,Normal
985b632f-e871-4985-88f4-7b4fbf462be5,Water
e24bd1db-f158-42d8-b3c5-9fc4e4c1c2e4,Bug
8c73fb47-7552-4e9a-bc04-a61d5d477ae0,Normal
1f31193b-086b-4ff9-8a49-9dc9e3d99417,Normal
faf45d90-11f0-48ec-a7db-11c1ebe82b47,Rock
7d229a98-27e9-4d7d-9585-73f8e71b5dac,Normal
f23c0d45-088f-43ff-87c6-3942e827fd6f,Ground
68329999-ccd6-4c88-aa2f-39d6ea0fab31,Grass
b2348d60-e765-43de-8835-2813397d53aa,Water
135d9ab4-a976-4f98-a6ce-fe4ab0d97867,Normal
d7b11476-15dd-42bb-9721-93446539c042,Water
f985b623-d7af-483c-a208-0cc00c0ec7ad,Normal
7cc7cba7-9ceb-4e99-afa7-a0dbe3c9d458,Water
0d126df9-efd0-4802-862f-4c8bed91b674,Fire
87bc90b1-3a0d-448f-b8ce-7b0f8927c242,Water
ccb3293d-fa1b-498a-aeac-631d2a73d77a,Water
1388f609-02c1-46af-8141-8fb7da722c8c,Grass
8dd8b79b-f785-4e1c-b4d2-846a911436ba,Grass
0ffd1386-3e81-4a1a-a53d-9782393e020b,Bug
2a114477-28be-48f8-990e-0ba9b6e3ee0f,Normal
b7bec714-ee44-4230-9d36-eca3d0d89c85,Normal
9cd47c25-86f3-42d7-9afd-0c03077ef6ac,Grass
6df10443-ed78-4138-b386-4d1759c2d98d,Grass
a374cd4c-0263-463a-96fc-5e2eaf45db3f,Grass
79743b54-24b8-42cb-95bf-1c78b6f96d87,Water
03af91cb-17c8-4b95-8ea0-8e58b9d31e36,Fighting
ee5d8587-6c68-4206-8d50-b0a7b162674b,Water
0796e6d1-ebb2-4eb3-9918-58f0a904603d,Bug
91934374-7dac-4402-bd66-65f26e28485f,Normal
3c488933-45b7-4c5e-a227-d7967f5ee78c,Bug
92bd8f46-da1a-44c9-9040-f168ba0baffb,Water
b68cccef-ae42-41ec-b14a-fd8f92a00ec8,Grass
575af4f4-0246-4efc-96da-46a422e14080,Normal
0a2d8175-0918-4aac-a56c-362723baee84,Bug
37c5699a-92b6-4380-83c2-ee81590c74ae,Grass
49d47f9a-ecc3-411d-a9b4-941aa543b36f,Bug
e1a39854-b80a-4d7a-b7cb-9f1feeb6268d,Bug
78121db6-d87b-4295-93b4-7afaed6bb48a,Normal
c073a191-ba2d-41c3-b711-1c6c743d30d9,Rock
fcb7a5bd-604e-414d-90cf-d83527b2c878,Bug
7cf9e772-198c-4287-99f2-477a670ed5ea,Fire
7bbb6d55-a709-4559-b7a3-b606ea872737,Grass
e19afbec-6490-4a63-bf41-36c99ae8fe46,Bug
78bbb794-fdc8-420e-92fd-4042863d3598,Fire
a079b33f-f307-43c7-bb30-ddc5e72026f0,Grass
7cd49647-e21f-410f-9a7c-91701f3e7795,Grass
f0447d3c-203e-4b0c-9342-721e01038448,Normal
bcb33316-45fe-4a8e-abcf-b77a494650db,Fire
fdd29e1f-4a79-4cfd-b086-d42bbab93520,Normal
e9367ab5-d11f-4714-a4fc-bfa254f54a14,Rock
74336336-8edc-4d25-9b77-1d36251c250e,Water
62bbf9f8-ddde-4bdf-bad8-6e72d2570b10,Normal
3e31cf7e-8552-4b20-ad5d-cf6cc4aa3403,Normal
395f07da-1cfb-4ca2-830c-bd478eab4392,Normal
8bb575ba-5107-4a9d-8b34-38d755a1c2b5,Rock
6375309e-522c-46d9-8a17-c989e6afe248,Water
a37a9601-7572-4677-bc12-5759da0c4c3f,Bug
052ba5ed-8c11-4a82-812e-18f1188e14b2,Water
9975686e-de36-4822-988c-76202a1cf30b,Grass
